t;x;y;z
0;0;1;1
5.02E-05;5.02E-05;0.999999999;0.999999999
0.000100475;0.000100475;0.999999995;0.999999997
0.000150713;0.000150713;0.999999989;0.999999994
0.000200951;0.000200951;0.99999998;0.99999999
0.00045214;0.00045214;0.999999898;0.999999948
0.000703328;0.000703328;0.999999753;0.999999874
0.000954517;0.000954517;0.999999544;0.999999768
0.001205705;0.001205705;0.999999273;0.999999629
0.002461649;0.002461645;0.99999697;0.999998455
0.003717592;0.003717579;0.99999309;0.999996476
0.004973535;0.004973504;0.999987632;0.999993692
0.006229478;0.006229418;0.999980597;0.999990105
0.012509194;0.012508702;0.999921763;0.9999601
0.018788911;0.018787241;0.999823504;0.999909991
0.025068627;0.025064663;0.999685832;0.999839787
0.031348343;0.031340592;0.999508763;0.999749499
0.062746923;0.062684857;0.998033368;0.998997499
0.094145503;0.093936055;0.995578236;0.997747348
0.125544084;0.125048277;0.992150664;0.996004569
0.156942664;0.155976425;0.987760777;0.993776831
0.276045708;0.270876929;0.962607751;0.981104136
0.395148753;0.380284702;0.924877825;0.962418304
0.514251797;0.482367909;0.875979791;0.938800414
0.633354841;0.575786996;0.817589168;0.911542268
0.797458413;0.688794014;0.724949317;0.870654091
0.961561985;0.782905338;0.62216227;0.829109855
1.125665557;0.858332313;0.512947659;0.790027345
1.289769129;0.916183582;0.4002414;0.756036797
1.523993046;0.971285578;0.23708985;0.720123058
1.758216962;0.997101439;0.073072194;0.701895228
1.992440879;0.995555521;-0.090906316;0.702951116
2.226664795;0.966616214;-0.254649292;0.723205001
2.501544248;0.895373854;-0.445806072;0.769056942
2.776423701;0.776424995;-0.630042881;0.832156809
3.051303154;0.605168131;-0.795268072;0.901363429
3.326182607;0.383801168;-0.92310409;0.961564063
3.508014377;0.214628244;-0.976377383;0.988002302
3.689846147;0.035532978;-0.999171916;0.99955651
3.871677918;-0.145117854;-0.989402195;0.994688993
4.053509688;-0.319056018;-0.94783313;0.973914195
4.235341458;-0.478517807;-0.878200552;0.940024533
4.417173229;-0.618035979;-0.786385001;0.897616189
4.599004999;-0.73469699;-0.678414906;0.851457626
4.780836769;-0.828035418;-0.560196901;0.80632967
4.973706993;-0.903008902;-0.429008263;0.76420539
5.166577217;-0.955244621;-0.294917944;0.731099947
5.359447442;-0.98677674;-0.159953458;0.709332066
5.552317666;-0.99924058;-0.024988768;0.700286592
5.826561237;-0.985743124;0.166699731;0.710055624
6.100804809;-0.933071244;0.358438425;0.745382577
6.375048381;-0.836668739;0.546702703;0.801566782
6.649291953;-0.691067213;0.722309064;0.869569814
6.877446219;-0.529411399;0.848243942;0.925825058
7.105600485;-0.335080667;0.942143844;0.970952392
7.333754751;-0.117461747;0.992880171;0.996356051
7.561909017;0.109603322;0.993875602;0.99692774
7.790063282;0.328703161;0.944257673;0.971894811
8.018217548;0.52442963;0.851713611;0.927332979
8.246371814;0.687133305;0.72688456;0.871673069
8.47452608;0.813203752;0.581698959;0.814213857
8.66431065;0.891150969;0.453359075;0.771506384
8.85409522;0.946672726;0.321704827;0.737010437
9.043879789;0.981746931;0.188930438;0.713132757
9.233664359;0.998079847;0.056066918;0.701378462
9.504717691;0.990851555;-0.133458362;0.706636338
9.775771022;0.94594344;-0.323211638;0.737287566
10.04682435;0.859386413;-0.510478905;0.789447034
10.31787769;0.725729995;-0.6875889;0.855236883
10.60959226;0.522789949;-0.852371482;0.92811334
10.90130683;0.269479582;-0.96314661;0.981535428
11.19302141;-0.011801295;-0.998991562;0.999167185
11.48473598;-0.293633376;-0.953996722;0.976349861
11.61355198;-0.409787528;-0.910158384;0.954763203
11.74236799;-0.516925575;-0.853894976;0.927878508
11.87118399;-0.613523933;-0.787353528;0.897364255
12;-0.698741662;-0.712761037;0.864975646
